Epoch,Split,MSE,MAE,SSIM_Loss,Gradient,Total
1,train,0.006071253626234829,0.05019598531723023,0.12939915599823,0.14608267489671709,0.3317490698384121
1,val,0.002699724435628315,0.03540675256662308,0.052068301826525644,0.09822244358480356,0.1883972224135806
2,train,0.001357247083913535,0.027547288367152215,0.032319519424438475,0.07196114891171455,0.13318520378721876
2,val,0.0008047574910092032,0.020905502733721094,0.023934604256016432,0.06089935278531852,0.10654421726606525
3,train,0.000981712220609188,0.023678027708828448,0.02021672716140747,0.056131036776304245,0.10100750386714935
3,val,0.0006754228171957716,0.01811891246088751,0.017517097436698378,0.05310366129514518,0.08941509400992684
4,train,0.0008688236104790121,0.022263376788794996,0.01645355815887451,0.04962915583252907,0.08921491439067758
4,val,0.00046102972523232174,0.01534225818979892,0.012813563939112767,0.0432557848513506,0.07187263670549461
5,train,0.0007229566047899425,0.020400712545216082,0.013340470218658447,0.04413717009425163,0.0786013094629161
5,val,0.0005218806305075669,0.017357704567776366,0.010353591032088941,0.03886226156524792,0.0670954377956208
6,train,0.0006534985573729501,0.019399522662162782,0.011890077495574951,0.041291434383392334,0.07323453309850302
6,val,0.0006610969301004699,0.019153386247670573,0.01388262677344547,0.04429889921170131,0.07799600916291782
7,train,0.0006538921618368476,0.01932279018610716,0.011374098873138427,0.04025566668510437,0.07160644790618681
7,val,0.0004896174843429,0.016547195921847776,0.012203349808978426,0.039406419820656444,0.06864658303582555
8,train,0.0005989683845546097,0.018638708774745466,0.010139849185943604,0.03739494700729847,0.06677247335254215
8,val,0.0003036524522841973,0.012347402442602596,0.011154124691228198,0.03492582760229232,0.05873100718840731
9,train,0.000544083467242308,0.017881055910885332,0.009709721565246581,0.03589186536371708,0.0640267263070913
9,val,0.00024524586446506155,0.011508765523648186,0.006982404714936663,0.030028331609573335,0.04876474771262325
10,train,0.0005279080559033901,0.01757154165059328,0.00918338975906372,0.035002800139784816,0.06228563960534521
10,val,0.0003102559582953146,0.013073372227513487,0.007906021585889683,0.03315870784175624,0.05444835761345472
11,train,0.00047799169491045176,0.01670989342480898,0.008496455574035645,0.03356255782842636,0.05924689852218144
11,val,0.0005560549662691677,0.017760596160960804,0.01274660362559519,0.04056478341578678,0.07162803816861193
12,train,0.00047034077283460645,0.01637468174546957,0.008282500267028809,0.03285548513829708,0.057983007923630064
12,val,0.00033695572949382386,0.014335519444363513,0.007935305689550509,0.031456713487578045,0.05406449435098589
13,train,0.0004310629073996097,0.015874530120193957,0.007747503852844238,0.03166214469373226,0.05571524157417007
13,val,0.0002893722574612138,0.013046858399204768,0.00659840501797427,0.03007546356719011,0.050010099241830364
14,train,0.0003873532544821501,0.014985499788075686,0.007351354503631592,0.030650911167263983,0.053375118713453414
14,val,0.00034238976870580416,0.014076393228142884,0.0073394483062112405,0.028597000820241917,0.05035523212330184
15,train,0.0003589745733421296,0.014433827624469996,0.006771744728088379,0.029248245453834535,0.050812792379735044
15,val,0.00014185569863425342,0.008335084363723256,0.005734844951872613,0.02568550290433085,0.03989728791856097
16,train,0.00035740736110601576,0.014458893664181233,0.006741162395477295,0.029154248586297036,0.05071171200706158
16,val,0.00014016419160847143,0.007842062738172378,0.004566270834321429,0.024277517216125873,0.03682601498022815
17,train,0.00032617873372510074,0.013682704901695252,0.006382433605194092,0.028362659931182862,0.0487539771717973
17,val,0.00035569905918862694,0.015180554466357656,0.0050684847649495315,0.028042454545380204,0.04864719283587602
18,train,0.00031679590372368695,0.013553419248759746,0.006162828922271728,0.02769088880419731,0.04772393287895247
18,val,0.00027853295401296326,0.013076295429591541,0.005649516157283904,0.02805500644834558,0.047059350989233986
19,train,0.0003124590467195958,0.013395301185548306,0.006018343734741211,0.027344052216410637,0.047070156183419753
19,val,0.0002196697766816979,0.011024349380972659,0.005748760928014281,0.026713969767283484,0.04370674985295212
20,train,0.00029612020828062666,0.01293624422326684,0.005793341636657715,0.026997644528746603,0.046023350596951784
