Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy
1,0.29397942946143446,0.020708145935864744,88.82,99.37
2,0.07170690649272873,0.17887939683570983,98.1725,92.59
3,0.048292754016863185,0.03383557235904203,98.6375,99.21
4,0.05857661059722304,0.07218175909220935,98.625,97.4
5,0.03753772500054911,0.02694280257040359,99.1,99.14
6,0.022283304189832414,0.005329888270213936,99.4125,99.88
7,0.03140268124110007,0.00908883834259761,99.1775,99.69
8,0.02943931401281443,0.021185832628715193,99.2775,99.2
9,0.032353705187208835,0.0036209122246361495,99.305,99.88
10,0.02228177983597052,0.007239252229668243,99.4025,99.73
11,0.016503137953755687,0.05164653313187526,99.575,98.41
12,0.024777301595272,0.020919780549838892,99.3925,99.3
13,0.04034222594088569,0.005488740222381529,99.3075,99.78
14,0.025152821385545577,0.0023832044325120664,99.4675,99.94
15,0.03139482906005433,0.014294689428584351,99.4,99.52
16,0.02943944450933632,0.004820310143755868,99.43,99.82
17,0.012096557561225836,0.0057949509666457965,99.745,99.88
18,0.007712848659241868,0.007904698809078025,99.8175,99.7
19,0.011833032290440996,0.003602852351493393,99.6975,99.9
20,0.01814614864287269,0.008264763867300991,99.6125,99.74
21,0.022953883255004075,0.11815638670246977,99.5075,95.73
22,0.013736242623976795,0.0022609417727303548,99.665,99.9
23,0.00858348535244512,0.007999102035886692,99.77,99.79
24,0.017211756828529427,0.0032172308347150325,99.655,99.88
25,0.011498228953200124,0.0019516855867345957,99.74,99.92
26,0.009446547113992784,0.09736189746244509,99.7675,97.94
27,0.011437047147245891,0.0021312149549888265,99.7575,99.95
28,0.00972386802656799,0.0002569596031996293,99.75,100.0
29,0.01785028692340402,0.002538038183000976,99.5075,99.92
30,0.006953860503965734,0.0029092149558487593,99.84,99.92
