Epoch,Split,MSE,MAE,SSIM_Loss,Gradient,Total
1,train,0.0010819505775192132,0.009498751060416302,0.01234814182917277,0.04906237800419331,0.0719912214713016
1,val,0.0008440170662497427,0.008733923145708568,0.00979015643292285,0.04534105156013306,0.06470914820501422
2,train,0.0008317067405829827,0.008702361186345419,0.009725562890370687,0.045176633179187776,0.06443626399648686
2,val,0.0008605019947355415,0.008839859988817826,0.00996008832403954,0.045404851555507234,0.06506530186310014
3,train,0.0008103695036067316,0.008591728127251069,0.00947735603650411,0.04457537065943082,0.06345482432679272
3,val,0.000791237080231943,0.008507037069648504,0.009298806494854867,0.04407554827234213,0.06267262891707745
4,train,0.0007975281573211154,0.008518439086774986,0.009345709959665934,0.04419632166624069,0.06285799887000273
4,val,0.0008246129817710793,0.008563919889522677,0.009566143789189928,0.04460537187913631,0.06356004853962
5,train,0.0007883359896950424,0.00846713613718748,0.009234375476837158,0.04395981516440709,0.062449662768126774
5,val,0.0007825058382103576,0.008406014686965562,0.009138747098598075,0.04366294728552408,0.06199021490929807
6,train,0.0007813319712877273,0.008427961130936941,0.00917108416557312,0.04372517568369706,0.06210555295149485
6,val,0.0007802125368703236,0.00838357032811705,0.009122817123189885,0.043618504829863285,0.06190510481804054
7,train,0.0007755965588924786,0.008394265846038858,0.009102502902348836,0.04357282281418642,0.06184518812146659
7,val,0.0007802935288054869,0.008347912409164488,0.009105068254978099,0.04339389065082403,0.061627164843772106
8,train,0.0007716864000540226,0.008371221956486503,0.009059800386428833,0.04345217359562715,0.061654882338596506
8,val,0.0007638304820655786,0.008312873596801086,0.008974043295738544,0.043172536893410884,0.06122328426801609
9,train,0.0007669911335688084,0.00834459937736392,0.00900527302424113,0.04331422450641791,0.06143108804159177
9,val,0.0007810053100408194,0.008376066837994817,0.00918089360632795,0.043555708522809315,0.061893674277172905
10,train,0.0007654871270836641,0.008333154546717802,0.009007896343866985,0.043256741737325986,0.061363279754994435
10,val,0.0007688483100092197,0.008306691601396875,0.00896741544946711,0.043154673650860786,0.06119762901173399
11,train,0.0007604971184240033,0.00830354149825871,0.008941425482432047,0.043098443523049354,0.06110390762216411
11,val,0.0007520794875900004,0.008264381465739868,0.008901634114853878,0.04281453532662163,0.06073263039480538
12,train,0.0007581960326060652,0.008286801271140575,0.008919989188512166,0.04304135130842527,0.061006337800684075
12,val,0.00075293331440449,0.008255025968847281,0.008823220400100059,0.04282391867897612,0.06065509836232795
13,train,0.0007546887089653561,0.00826485650613904,0.008877976417541504,0.042928858935832974,0.060826380568478874
13,val,0.0007600751337025591,0.008237941418477196,0.008922384140339303,0.042904635257226355,0.060825035949745414
14,train,0.0007525893894489854,0.008250510456661383,0.008843675295511881,0.042863273128867146,0.0607100482704894
14,val,0.0007480903391780808,0.008219134959174281,0.008841220051684279,0.04269834146141372,0.06050678681145036
15,train,0.0007498886661293606,0.008231724220017592,0.008823628664016724,0.04275675567984581,0.06056199723000949
15,val,0.0007456404514898091,0.008227916147084312,0.008881663071348312,0.04259640937472912,0.06045162904465155
16,train,0.0007485673082216332,0.008218267178783814,0.00881181518236796,0.0427124889343977,0.0604911386037711
16,val,0.0007503977394662797,0.008191482624673146,0.008789999687925298,0.0426479646777536,0.060379844729818326
17,train,0.000746945566420133,0.008203331857298811,0.008800924698511759,0.042668706074357035,0.06041990819658774
17,val,0.0007433844643565727,0.00816884161309993,0.008744146912655931,0.042550308629870415,0.06020668161998285
18,train,0.0007453018505281458,0.00819117921963334,0.008779346148173014,0.04261187000572681,0.06032769722406131
18,val,0.0007442938268526477,0.008229374873174473,0.008822053353837195,0.04255121387541294,0.06034693592927726
19,train,0.0007441308588410418,0.008171842588111758,0.008772639830907186,0.042566182762384414,0.0602547960402444
19,val,0.0007528163318675843,0.008164782191012451,0.008826881330064002,0.04261003862670128,0.06035451847964531
20,train,0.0007425180119462312,0.00815454486074547,0.008754594643910726,0.04251656501491864,0.06016822253152107
20,val,0.0007459664230601505,0.008155241150389169,0.008783349331389082,0.04260706974867177,0.06029162665351017
21,train,0.000740559386399885,0.008133953076476852,0.008732697248458862,0.042444407338897386,0.060051617050232986
21,val,0.0007519609099154935,0.008189026709705432,0.008807204505230518,0.042590215366254465,0.06033840749110591
22,train,0.000739591551789393,0.008117033016557494,0.008728804349899292,0.04240268736581008,0.05998811628405626
22,val,0.000737036331284276,0.00805500374879054,0.008701984552626914,0.04229124405599655,0.05978526868869828
23,train,0.0007377318447300543,0.008097334409753482,0.008710926214853922,0.0423561109850804,0.05990210345441786
23,val,0.0007336763770349245,0.008052113686410829,0.008753990239285409,0.04221814242686997,0.059757922729601134
24,train,0.0007371825087660302,0.008079268840452035,0.008690957307815552,0.0423215690056483,0.059828977662681915
24,val,0.0007317784493739538,0.008020212368524455,0.00870994526021024,0.0421410687465934,0.05960300482470205
25,train,0.0007344789629957328,0.008041282481824358,0.008658306042353313,0.04224234415590763,0.05967641164308103
25,val,0.000737844605031027,0.008126922494216643,0.008755957826654961,0.04237365706803951,0.059994381993942136
26,train,0.0007333405290264637,0.008020623980710904,0.008650883515675863,0.04218328801294168,0.059588136038354916
26,val,0.0007359144560239733,0.008265884278560096,0.008761289905994497,0.04235864056155403,0.060121729202132594
27,train,0.0007327082796643177,0.008013904884457588,0.008655923763910929,0.042158202076951666,0.0595607390049845
27,val,0.0007331749319688397,0.008074847676672358,0.008730621731027644,0.04229600561108995,0.05983464995075879
28,train,0.0007326028380387773,0.008001567427068949,0.00867829942703247,0.04213882580399513,0.05955129549613533
28,val,0.0007374117762702418,0.008258437514899577,0.008764426758948793,0.04238666934852905,0.06014694539864766
29,train,0.0007317304912333687,0.007992030317584673,0.008636991580327352,0.04211197292804718,0.05947272531719257
29,val,0.0007317058312919665,0.007927594396800913,0.00868784747225173,0.04201340497015638,0.05936055267050099
30,train,0.000730527604231611,0.007972623560577631,0.008628319422403972,0.04207128315667311,0.05940275374388633
30,val,0.0007312854085033363,0.007967375075206794,0.008684988351578408,0.04211333007650807,0.05949697891179661
31,train,0.0007282185406268885,0.00795126546608905,0.008600645939509073,0.041985745231310524,0.05926587517753554
31,val,0.0007391486371411605,0.007950220744997422,0.008710393246184004,0.04212524208854487,0.05952500471686746
32,train,0.0007281731055894246,0.007943141378462314,0.008617137829462686,0.041983072578907016,0.05927152489242144
32,val,0.000731324215055483,0.007982381879589818,0.008613011304368364,0.042048255417575224,0.05937497281658889
33,train,0.0007284149183736493,0.00795209927422305,0.00860753599802653,0.04197748426596324,0.05926553445658647
33,val,0.0007280827031787881,0.007891233071704652,0.008658812718188509,0.041937398625181074,0.05921552711825302
34,train,0.0007274056713407239,0.00793223444931209,0.008592525720596314,0.041953510368863745,0.05920567621011287
34,val,0.0007354095562712903,0.008055461199082275,0.008727035940961634,0.042195684236890456,0.059713590933205656
35,train,0.0007272855426805715,0.00793408515987297,0.008594005187352498,0.041932060475150745,0.059187436365056786
35,val,0.0007312709860072689,0.00797717069632354,0.008613898399028373,0.04202879763188514,0.05935113771324432
36,train,0.0007262953765845547,0.007917283795153102,0.0085904754002889,0.04190054998795192,0.059134604559978474
36,val,0.0007247182062549636,0.007876315867488689,0.008618160765221778,0.04181200141047544,0.05903119624944087
37,train,0.0007256894978539398,0.00791530449812611,0.008562347888946532,0.04187616248925527,0.05907950437418185
37,val,0.0007318587421979557,0.007987141579468834,0.008696100813277225,0.04207260720431805,0.05948770833926206
38,train,0.0007252116946037859,0.007898312171921135,0.00856787618001302,0.04185793533921242,0.059049335385750364
38,val,0.0007300270755993242,0.007888370371879415,0.00863837498299619,0.041984764601480457,0.05924153703195539
39,train,0.0007243551320085923,0.007897123540441196,0.008546165863672892,0.04182548350592454,0.05899312804204722
39,val,0.0007291451499653743,0.007892904862602974,0.00862884077619999,0.0419446583639117,0.05919554915268004
40,train,0.00072464130151396,0.007900838872417808,0.008544565995534261,0.041831687505046525,0.05900173367451256
40,val,0.0007304758130092213,0.00792851141019863,0.008608907144120399,0.041975477908519986,0.059243372275848236
41,train,0.0007231559841893614,0.00788850013166666,0.008527016401290893,0.041792675842841465,0.05893134835998838
41,val,0.000725885956273216,0.007987290397880877,0.00860748233947348,0.04195561103443516,0.059276269728062735
42,train,0.0007231450243853033,0.007874137371778488,0.0085384308497111,0.041765789349873864,0.05890150259574875
42,val,0.0007315006006776573,0.007895872774633004,0.008698182854246585,0.0419347882270813,0.059260344456638546
43,train,0.0007216518100661536,0.007866814565534393,0.008509281476338705,0.04172634615004062,0.058824094001979875
43,val,0.0007318126039574556,0.007845144139285734,0.008654157532022354,0.04190884453264323,0.059139958807908774
44,train,0.0007212805601302534,0.007859884391228358,0.008511340777079265,0.04170342244704565,0.05879592817548353
44,val,0.0007339276471224792,0.00787359744340102,0.00874097169713771,0.041996431596418644,0.059344928384079856
45,train,0.0007206166957815488,0.007856258626406392,0.008499352693557739,0.04168904094894727,0.05876526896469295
45,val,0.0007274799046423682,0.00789752624869505,0.008658030882794807,0.04187406783804615,0.05915710487417837
46,train,0.0007206943402222047,0.007844501287365952,0.00848568042119344,0.041682851344347,0.0587337273931286
46,val,0.0007296944429671907,0.007815583680875282,0.008685844375732098,0.0418778828919885,0.05910900539156307
