Epoch,Train_Loss,Val_Loss,Train_PSNR,Val_PSNR,Train_SSIM,Val_SSIM
1,0.011079111818224192,0.009844415553627497,30.207514300538723,30.739346561795692,0.9941832059224447,0.9955317428771485
2,0.009799699760973453,0.00992762958234612,30.80405303955079,30.655437980185443,0.9956107880274455,0.9953224173885711
3,0.009643742522845666,0.009521712083369493,30.91643474341817,31.019960663542008,0.9957247877120972,0.9958242158940498
4,0.009549362771213054,0.009659752477594513,30.98603619316978,30.840974609739828,0.9957904951572418,0.9956627925659748
5,0.009482271924614906,0.009410026389114718,31.03636819119353,31.067716070583263,0.9958420828978221,0.9958692532270512
6,0.00942998702948292,0.009393737993222918,31.07483010829473,31.08036995072867,0.9958791988690694,0.9958850379953993
7,0.009387234778453907,0.009355274856367961,31.106359631605326,31.08016414300426,0.9959105994701386,0.9958750126843757
8,0.009357195434470972,0.009288908874100827,31.12895667187022,31.172897217542936,0.9959318548043569,0.9959710427421204
9,0.00932153379668792,0.009396724913150389,31.15511523748916,31.076168145790085,0.9959561397234599,0.995871382190826
10,0.009311778080960115,0.009285389475445164,31.163874670972486,31.144314093987237,0.9959643534024556,0.9959229100891884
11,0.009270543017735083,0.009217541798592565,31.192184328963627,31.23988921286399,0.9959913074175517,0.99603023903167
12,0.009253882105151812,0.009199821756796,31.20545419435003,31.235180789228693,0.9960029687086741,0.9960195444365765
13,0.009225322081396977,0.009224246236238074,31.22537523278441,31.194008623879295,0.9960228627522787,0.9959827097172432
14,0.009206147382656734,0.009176607085193725,31.237429338301514,31.2629927505839,0.9960329956213633,0.9960554578202836
15,0.009183965879182021,0.009176718482272105,31.253361009714897,31.27724423820322,0.9960489881038666,0.9960600949348287
16,0.009172004086275895,0.009152454591574186,31.26097900674065,31.25014386927787,0.9960553217728932,0.9960384552783155
17,0.009159652729829153,0.009123139459877572,31.27044467694379,31.290805682782082,0.9960632762908935,0.9960842243534453
18,0.009144824674973885,0.009160316202472499,31.280045926237243,31.285473847435714,0.9960706675052643,0.9960595258372895
19,0.009131737023591996,0.009147539675394271,31.286579154528518,31.236069157452782,0.9960773769219716,0.9960244916220928
20,0.009116547518720229,0.009132799608236614,31.295994885398745,31.275889692820726,0.9960854163169861,0.9960698085896512
21,0.00909705962613225,0.009149808248386104,31.307659079745612,31.24101118547672,0.9960948570569357,0.996011179178319
22,0.009085848273088535,0.009046735405485997,31.313242708108902,31.3282598613706,0.9960990292231242,0.996110515074527
23,0.009070069599896669,0.009047638877552557,31.323984622740067,31.347864659872343,0.9961089357535045,0.9961136306854005
24,0.009056106419612964,0.009019292762225612,31.32699999377217,31.35873224699558,0.9961097525755565,0.9961293558491037
25,0.009027412212143341,0.009091225888659345,31.343467984408893,31.32317638758902,0.9961247722307841,0.9960956215224368
26,0.009012393154203891,0.009138751626411017,31.3501542376247,31.334837802433583,0.9961301418145497,0.996056096667939
27,0.009008319615075986,0.009058532904476878,31.353906765698586,31.35062178892023,0.9961335903008779,0.9961008613413953
28,0.00900650213037928,0.009140099552360939,31.354767239077642,31.32570598723242,0.9961335328420003,0.9960468176831591
29,0.00899191194648544,0.008969665133453746,31.359547861829284,31.359643557352307,0.9961376051108043,0.9961321861185926
30,0.008978895167509715,0.00899286197617333,31.366627810012165,31.361882788817095,0.9961442749500274,0.9961417846857233
31,0.008956523184974988,0.008995882255282807,31.38055576126464,31.315522014345696,0.9961563786665598,0.996101993829646
32,0.008956694964319467,0.008977225035468632,31.381143377421083,31.361755812790218,0.9961561408837636,0.9961443625866099
33,0.008957435647646585,0.008942263002725357,31.379419564486753,31.38135131995726,0.9961557295322419,0.9961531568080821
34,0.008944730274379253,0.009041780457296904,31.38534481433961,31.337167218552633,0.9961604758898417,0.9961052343566367
35,0.00894348688920339,0.008973614134370013,31.3860222393484,31.361778678461615,0.9961603570779165,0.9961415595830755
36,0.008933402835081022,0.008915194320155586,31.392064957148918,31.40120529312427,0.9961659172375997,0.9961604900816654
37,0.008924433800081412,0.008998131097116053,31.395735904898682,31.358671995334223,0.9961690823237102,0.9961284256361901
38,0.008917602196335793,0.008942590659840944,31.398597854018824,31.36966013040675,0.9961717393398285,0.996144101657766
39,0.008909299132724603,0.00893795154889689,31.403887991069126,31.37482491483149,0.996176122268041,0.9961508759792815
40,0.00891100008164843,0.008949974863889052,31.40183204295568,31.36678722004932,0.9961748127937317,0.9961436517695164
41,0.008898750593264898,0.008966669415500252,31.410707359498634,31.39406870465529,0.996182450691859,0.9961650412767491
42,0.008893314016362031,0.008952696168636705,31.410865004703503,31.36113645015947,0.9961826333204905,0.9961333652126029
43,0.008880454213668903,0.00892365092233299,31.41984583280267,31.358805625270577,0.9961907502015431,0.996136502699649
44,0.008876018213729063,0.008960471384504691,31.42231591053555,31.345908511308835,0.9961928677558899,0.9961244964853246
45,0.008870681074758371,0.008937765219982,31.426032082828577,31.384338662033887,0.9961956499417622,0.9961503604625134
46,0.008863239744057259,0.00891580463862641,31.425907855636144,31.371988666426823,0.9961957146326701,0.996144600688143
