Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy
1,0.24688676029315684,0.005595210899531245,90.44166666666666,99.76666666666667
2,0.01783985964385647,0.015846523079077048,99.55833333333334,99.45833333333333
3,0.012101799845110084,0.01596018503320897,99.69583333333334,99.55833333333334
4,0.019534148973667165,0.0005865493077620653,99.55,99.975
5,0.015933618299635327,3.540275505183309e-05,99.65416666666667,100.0
6,0.013322074239371356,3.321499742549394e-05,99.74166666666666,100.0
7,0.018757290665413658,0.09416907669521771,99.73333333333333,98.575
8,0.004668092168906668,0.00027035245099793964,99.91875,100.0
9,0.010226320189102826,6.397402737705662e-06,99.83541666666666,100.0
10,0.01293856148063493,1.2121120923480728e-05,99.78958333333334,100.0
11,0.004421062150673896,7.035975744287177e-08,99.94791666666667,100.0
12,0.008473792018553796,1.2241416113349756e-06,99.86875,100.0
13,0.0042555585404705585,3.640233466387856e-07,99.93333333333334,100.0
14,0.007999984621247772,0.0110396609782815,99.91041666666666,99.68333333333334
15,0.00582321437581525,0.00012924624387845773,99.91041666666666,99.99166666666666
16,0.0009726139582930189,1.2087364253718073e-09,99.97291666666666,100.0
17,0.030312351085916796,3.793704104836654e-06,99.68125,100.0
18,0.0009453737610892551,0.00030276245534807385,99.98541666666667,99.99166666666666
19,0.0011775363012111414,1.490987849850356e-08,99.97291666666666,100.0
20,0.006440652274935753,3.875245859154068e-06,99.90625,100.0
21,0.006559143255053473,1.8415398902142755e-05,99.90625,100.0
22,0.003576195413802756,1.3846324916662707e-06,99.9375,100.0
23,0.0204630744820316,0.001791768443572318,99.85208333333334,99.96666666666667
24,0.0027088815264502816,4.2109878861819596e-05,99.96875,100.0
25,0.0036926428385539475,3.264737826983184e-07,99.95833333333333,100.0
26,0.01629315135236771,9.45109813599086e-05,99.86666666666666,99.99166666666666
