Epoch,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy
1,0.31072756145279856,0.09568338199061857,87.8925,96.97
2,0.07748558359984309,0.015740646315949146,97.88,99.63
3,0.052573162763286385,0.09996732909256106,98.52,96.68
4,0.05532802099826513,0.10237590456140452,98.295,97.72
5,0.04997739574204897,0.02766860607354516,98.69,98.95
6,0.03379147774093435,0.009794708821538538,99.1,99.72
7,0.06355440017557558,0.7304154956226896,98.3575,87.28
8,0.03326561072734185,0.02428057935488541,99.1125,99.18
9,0.026604301839557594,0.05461046284666748,99.29,97.81
10,0.028491934124226098,0.007049437220679477,99.2325,99.82
11,0.02437607470862363,0.009557540467997738,99.3175,99.57
12,0.047897506745356803,0.0478498667116988,99.0225,98.43
13,0.023748035713966057,0.002493081740976632,99.33,99.95
14,0.02013068907683264,0.017831463057680907,99.535,99.51
15,0.028693125094938113,0.03372832469489321,99.3175,99.34
16,0.02637847259999144,0.005469818889464101,99.37,99.79
17,0.016433599724459874,0.04979130929172776,99.535,98.92
18,0.022061290600964,0.003988493476617371,99.4675,99.86
19,0.013632893390527897,0.0011754774318729969,99.625,99.98
20,0.01716639441678642,0.014434335522212962,99.66,99.46
21,0.01805332253331835,0.0026818543307581474,99.5625,99.94
22,0.03319762116618076,0.000994103643138096,99.415,99.97
23,0.010502778749221557,0.0025498556368357774,99.7,99.9
24,0.019417184660823476,0.012990235597643946,99.535,99.55
25,0.01174837173881224,0.0023869379868031834,99.7325,99.93
26,0.004659975437255113,0.003121446783741207,99.8625,99.89
27,0.01721335997136539,0.005702402468287007,99.5975,99.76
28,0.007312221161789421,0.003098598360879074,99.81,99.86
29,0.006880420310272173,0.00023657377174782064,99.8325,99.99
30,0.020557338369742308,0.0034521217558157458,99.56,99.89
