dataset,model,test_loss,test_psnr,test_ssim,computation_time,total_params,batch_size
mnist,comp,0.0005971668137958166,32.26727136569745,0.99683650056268,00:32:07,1864257,64
cifar10,comp,0.0009638496854781488,30.182537207001314,0.9923062761118457,00:36:17,1865539,64
cifar100,comp,0.000944194414691442,30.283565832077414,0.9934234448299286,00:35:49,1865539,64
stl10,comp,0.0010486967333126814,29.831131330278357,0.9923166167736054,00:26:52,1865539,32
