Epoch,Split,MSE,MAE,SSIM_Loss,Gradient,Total
1,train,0.003313776357844472,0.03449595484435558,0.13390739002227783,0.13069037781953813,0.302407499044016
1,val,0.00162621319833787,0.025653674047748754,0.0861567782748277,0.10129428056964448,0.21473094609055882
2,train,0.001519025196507573,0.02475207625031471,0.08374555702209473,0.09789801061153412,0.20791466908045114
2,val,0.001406199209819174,0.023755543645779798,0.07866316957838217,0.09501432119661075,0.1988392336305919
3,train,0.0013560713008977472,0.023072205397486688,0.07687675752639771,0.0917591952085495,0.19306422943333162
3,val,0.0013356831719636157,0.022845535295879005,0.07576081251642507,0.09122414099183052,0.1911661719760982
4,train,0.0012639956342056394,0.02218479054272175,0.07408365488052368,0.08866894516944886,0.1862013862268999
4,val,0.001268294646188166,0.02185805006676419,0.07056920771386213,0.0863861677942762,0.1800817202210907
5,train,0.001218932416010648,0.02167451202571392,0.07201579990386962,0.08679881801605224,0.18170806236164644
5,val,0.0011695835114290617,0.021167781844640233,0.0696339835027221,0.08507844198281599,0.17704979084160738
6,train,0.0011994565275497734,0.02143166515827179,0.07036515712738037,0.085629851603508,0.17862613041670994
6,val,0.0011605303693758501,0.020982368795829973,0.06915851952923331,0.08367437413733476,0.1749757928317739
7,train,0.0011612523415125905,0.021087001433968543,0.06885165939331055,0.08442793961763383,0.17552785278642552
7,val,0.0011301665380745415,0.020672836489263612,0.0662916739275501,0.08296608426578485,0.1710607612206731
8,train,0.0011408732418902218,0.02078321869969368,0.06747388963699341,0.08326268624067307,0.17266066781925038
8,val,0.0011658299885613096,0.021083777378888648,0.06810023450547723,0.08283546785260462,0.1731853097255318
9,train,0.0011255871876142919,0.020543721562623976,0.06665265970230103,0.0822396936416626,0.1705616620942019
9,val,0.0011021332258423849,0.02055477220446441,0.06601938016855033,0.08180228549583703,0.16947857109469416
10,train,0.001095307776890695,0.020281225706636905,0.06530445146560669,0.0813343204498291,0.1680153053989634
10,val,0.0011893418297960548,0.021396149602380527,0.06841706660143129,0.08461893976304181,0.1756214977966497
11,train,0.001098237752262503,0.02037730205357075,0.06553544025421143,0.0815355377316475,0.16854651779169216
11,val,0.001065738270782931,0.019967997873759573,0.06339281265902671,0.08010520088444849,0.1645317496880177
12,train,0.001082352080475539,0.02013554898798466,0.06437021999359131,0.08062241770029067,0.16621053876234218
12,val,0.0010765024670696326,0.019839077915070922,0.06332171001252096,0.07952747470254351,0.16376476509720503
13,train,0.001072781678661704,0.019993977296352387,0.0638420783996582,0.07993048422336578,0.16483932159803807
